transaction_id,account_id,transaction_date,amount,transaction_type,branch_id
14,13,21-01-2024 14:00:00,1500000,Deposit,4
15,14,21-01-2024 08:00:00,500000,Transfer,3
16,15,22-01-2024 09:00:00,100000,Deposit,1
17,16,22-01-2024 13:10:00,100000,Withdrawal,5
18,17,22-01-2024 10:20:00,700000,Deposit,5
19,18,22-01-2024 11:00:00,30000,Payment,2
20,19,22-01-2024 15:00:00,2500000,Deposit,2
21,20,22-01-2024 11:30:00,150000,Payment,4
22,21,22-01-2024 10:45:00,800000,Withdrawal,5
23,22,22-01-2024 10:50:00,100000,Withdrawal,1
24,23,22-01-2024 11:10:00,300000,Payment,1
25,23,22-01-2024 14:30:00,400000,Deposit,1